geometry,zip,puma,FIPS,tract2010,NCES_ID,ec_high_own_ses_hs,ec_high_parent_ses_hs,volunteering_rate_hs,exposure_parent_ses_hs,exposure_own_ses_hs,ec_own_ses_hs,ec_parent_ses_hs,black,white,hispanic,civic_organizations_zip,frac_coll_plus2016,nonwhite_share2010
"c(-86.2049, 34.2622)",35950,500,1,1095030902,010000500871,1.1243,1.01387,0.02939,0.81625003,0.68330002,0.70279998,0.8035,0.024,0.912,0.028,0.01271,0.1706,0.1357
"c(-86.319462, 34.178658)",35980,500,1,1095031000,010000600878,0.90841001,0.73626,0.02863,0.63306999,0.58915001,0.67400998,0.69442999,0.024,0.912,0.028,0.0092200004,0.1002,0.1609
"c(-86.254153, 34.53375)",35747,500,1,1095030202,010000600883,0.93722999,0.89753997,0.030339999,0.77319002,0.65886003,0.69038999,0.80438,0.024,0.912,0.028,0.01149,0.233,0.0351
"c(-86.4219, 34.3764)",35976,500,1,1095030500,010000601585,0.71329999,0.67255002,0.030579999,0.61978,0.54674,0.58389002,0.63813001,0.024,0.912,0.028,0.023329999,0.1879,0.0452
"c(-86.8377, 33.3444)",35244,1303,1,1073014410,010000700251,1.77167,1.59389,0.050330002,1.5150599,1.5929101,1.564,1.4794,0.125,0.8,0.021,0.01267,0.5891,0.2616
"c(-86.7288, 33.3927)",35242,1200,1,1117030303,010000701456,1.74718,1.61006,0.05232,1.5216,1.60928,1.5671,1.5131201,0.102,0.826,0.027,0.01361,0.6266,0.1907
"c(-86.7425, 34.7192)",35758,301,1,1089011014,010000800831,1.59058,1.66202,0.069360003,1.59128,1.38448,1.32138,1.55214,0.325,0.593,0.024,0.01915,0.612,0.3399
"c(-86.574182, 33.547574)",35094,1303,1,1073011002,010001102096,0.95337999,0.81195998,0.032439999,0.72619998,0.72171003,0.74695998,0.75222999,0.125,0.8,0.021,0.01333,0.083,0.5131
"c(-86.1639, 34.2118)",35957,500,1,1095031200,010001200874,1.11362,1.02048,0.03091,0.90521002,0.81151003,0.86404997,0.92973,0.024,0.912,0.028,0.01272,0.2382,0.1649
"c(-86.590765, 33.665684)",35173,1304,1,1073011111,010001301682,1.62792,1.47948,0.050900001,1.4084001,1.3987499,1.35803,1.39521,0.329,0.617,0.013,0.01435,0.3118,0.171
"c(-85.9508, 32.9377)",35010,1800,1,1123962300,010003000003,1.10686,0.98034,0.02716,0.79389,0.68915998999999994,0.59635001,0.74985999,0.221,0.731,0.015,0.01853,0.1861,0.2355
"c(-86.4708, 31.3154)",36420,2300,1,1039962000,010006000007,1.25202,0.89715999,0.03779,0.77811998,0.85132998,0.76116002,0.74725002,0.116,0.832,0.015,0.02204,0.2698,0.2867
"c(-85.82, 33.6612)",36207,1100,1,1015000200,010009000011,0.43314001,0.40801999,0.02287,0.40423,0.28637999,0.27755001,0.38095,0.196,0.726,0.012,0.02076,0.1519,0.6021
"c(-86.48857, 34.329247)",35016,500,1,1095030500,010010000028,1.2649601,1.14588,0.04549,1.0654,0.91745001,0.88665003,1.08127,0.024,0.912,0.028,0.01542,0.1879,0.0452
"c(-86.949822, 34.812486)",35611,200,1,1083020700,010012001472,1.3760099,1.1326801,0.041870002,0.98693001,0.99934,0.89262003,0.93918997,0.1,0.806,0.023,0.021570001,0.1024,0.3414
"c(-86.1109, 33.996)",35954,900,1,1055010200,010018000033,0.83955997,0.64735001,0.069030002,0.56400001,0.54839998,0.60329998,0.58174998,0.141,0.801,0.026,0.01337,0.1311,0.1622
"c(-88.100153, 30.796015)",36571,2701,1,1097005400,010018502137,1.0449600000000001,1.04884,0.02585,0.98422998,0.85118997,0.96275997,0.96855998,0.637,0.337,0.011,0.01453,0.1938,0.1794
"c(-88.0569, 30.8471)",36572,2703,1,1097005600,010018902195,1.15856,1.06695,0.03497,0.96787,0.85285997,0.82853001,0.9698,0.14,0.786,0.02,0.0097200004,0.1394,0.1608
"c(-86.845962, 33.222102)",35007,1200,1,1117030607,010019001183,1.43539,1.22012,0.048379999,1.1119601,1.17177,1.1485699,1.10692,0.102,0.826,0.027,0.01428,0.3843,0.2436
"c(-86.82121, 33.312895)",35124,1200,1,1117030316,010019402399,1.59304,1.45515,0.049830001,1.3631999,1.36417,1.36631,1.3802,0.102,0.826,0.027,0.018230001,0.3361,0.2787
"c(-85.446081, 32.603878)",36830,1900,1,1081040200,010021000036,1.4536099,1.45471,0.044300001,1.3840801,1.15883,1.00274,1.27635,0.188,0.67,0.024,0.022290001,0.6017,0.2597
"c(-86.481999, 32.619027)",36022,2100,1,1001020900,010024000046,0.97175997,1.0921201,0.03272,1.01805,0.77249002,0.79145002,1.04506,0.272,0.691,0.009,0.00397,0.1287,0.1567
"c(-86.4716, 32.5005)",36067,2100,1,1001020802,010024000048,1.23614,1.28756,0.032030001,1.16509,0.92232001,0.83537,1.1052999,0.272,0.691,0.009,0.01568,0.2286,0.1712
"c(-87.706485, 30.540413)",36567,2600,1,1003010905,010027000024,0.89039999,0.78419,0.053539999,0.72644001,0.61404997,0.61798,0.71670997,0.053,0.901,0.018,0.01533,0.1461,0.166
"c(-87.8836, 30.498068)",36532,2600,1,1003011102,010027000100,1.3785,1.22144,0.062279999,1.16427,1.0710599,1.00396,1.12341,0.053,0.901,0.018,0.0229,0.3895,0.1039
