iter	RMSE
0	1048.775375
1	1047.735871
2	1046.69536
3	1045.657176
4	1044.620883
5	1043.584828
6	1042.549776
7	1041.514209
8	1040.481226
9	1039.449427
10	1038.419155
11	1037.390136
12	1036.361111
13	1035.332085
14	1034.303796
15	1033.275562
16	1032.251706
17	1031.227352
18	1030.204217
19	1029.180489
20	1028.159262
21	1027.137708
22	1026.119214
23	1025.101082
24	1024.084211
25	1023.069461
26	1022.054315
27	1021.041721
28	1020.030148
29	1019.019595
30	1018.009369
31	1016.999967
32	1015.992414
33	1014.985345
34	1013.978209
35	1012.971425
36	1011.968052
37	1010.965593
38	1009.962142
39	1008.961712
40	1007.959622
41	1006.959771
42	1005.962355
43	1004.966237
44	1003.968798
45	1002.971786
46	1001.978323
47	1000.984292
48	999.9929583
49	999.00089
50	998.0099183
51	997.0215026
52	996.0328121
53	995.0442653
54	994.0568985
55	993.0724537
56	992.0890026
57	991.1062822
58	990.1228232
59	989.1406322
60	988.1587502
61	987.1802399
62	986.2002305
63	985.2224362
64	984.246878
65	983.2723047
66	982.2952367
67	981.3202792
68	980.3486431
69	979.3749525
70	978.4026865
71	977.4326332
72	976.4638395
73	975.4970822
74	974.5305017
75	973.5640613
76	972.5973613
77	971.634484
78	970.6725046
79	969.7090658
80	968.7490977
81	967.7890144
82	966.8308788
83	965.8714358
84	964.9153309
85	963.959232
86	963.0050556
87	962.0511092
88	961.0988583
89	960.1443025
90	959.1923052
91	958.2407439
92	957.2903966
93	956.3429231
94	955.3952421
95	954.4465163
96	953.5005145
97	952.5568512
98	951.6125448
99	950.6684935
100	949.7268598
101	948.78458
102	947.8432645
103	946.9052179
104	945.9682006
105	945.0299206
106	944.0918683
107	943.1558996
108	942.2204451
109	941.2864316
110	940.3525878
111	939.4192635
112	938.4882647
113	937.5580378
114	936.6280788
115	935.6975711
116	934.7699856
117	933.8425912
118	932.9175634
119	931.9941732
120	931.0691545
121	930.1480186
122	929.2255935
123	928.3063138
124	927.3879629
125	926.4678067
126	925.548366
127	924.631653
128	923.7152447
129	922.7985881
130	921.884021
131	920.971179
132	920.0585195
133	919.1484434
134	918.2375869
135	917.3282885
136	916.4209609
137	915.5139373
138	914.6057558
139	913.6980519
140	912.7943734
141	911.8889437
142	910.9845899
143	910.0836373
144	909.1820927
145	908.2812758
146	907.3804214
147	906.4800367
148	905.5801005
149	904.6839256
150	903.7883393
151	902.8920074
152	901.9991874
153	901.1065104
154	900.2125871
155	899.32026
156	898.4310322
157	897.5406522
158	896.6532193
159	895.7649786
160	894.8776812
161	893.9929285
162	893.1090704
163	892.2232202
164	891.3411451
165	890.4575673
166	889.5740677
167	888.6915582
168	887.8130318
169	886.9319079
170	886.0525549
171	885.1765763
172	884.3007372
173	883.425595
174	882.5499075
175	881.674804
176	880.80333
177	879.9300165
178	879.057659
179	878.1870462
180	877.315626
181	876.4465689
182	875.5785057
183	874.7131541
184	873.8486776
185	872.9850756
186	872.1193627
187	871.2566388
188	870.3941591
189	869.5319251
190	868.6708725
191	867.8104292
192	866.9530855
193	866.0942689
194	865.2368127
195	864.3797012
196	863.5229268
197	862.6674714
198	861.8151176
199	860.9611076
200	860.1076239
201	859.2578423
202	858.4088859
203	857.5608221
204	856.7136163
205	855.8657802
206	855.0183501
207	854.1713994
208	853.3259221
209	852.4802319
210	851.6359851
211	850.7920105
212	849.9490763
213	849.1063201
214	848.2656222
215	847.424222
216	846.5871969
217	845.7490942
218	844.9135198
219	844.0771142
220	843.2425646
221	842.4072817
222	841.5725245
223	840.7413867
224	839.9097099
225	839.0781831
226	838.2462165
227	837.4160214
228	836.5853428
229	835.7590118
230	834.9340605
231	834.1096028
232	833.2838293
233	832.4576363
234	831.6356704
235	830.8114492
236	829.9882577
237	829.1684493
238	828.3497951
239	827.5305946
240	826.7135957
241	825.8948553
242	825.0771184
243	824.2625877
244	823.4466591
245	822.6308721
246	821.8159938
247	821.0047446
248	820.1943169
249	819.3847098
250	818.5737957
251	817.7636235
252	816.9527764
253	816.1453102
254	815.3397815
255	814.5350686
256	813.7291454
257	812.924228
258	812.1184453
259	811.3141747
260	810.5134891
261	809.7112307
262	808.9093281
263	808.1096853
264	807.3092791
265	806.5126358
266	805.7141489
267	804.9192048
268	804.1227351
