iter	RMSE
0	92.14941485
1	87.35295058
2	83.18676768
3	79.58157935
4	76.31964569
5	73.65597413
6	71.29286812
7	69.09275693
8	67.27624253
9	65.73231825
10	64.33245969
11	63.19504268
12	62.16253419
13	61.30264968
14	60.48605374
15	59.76696578
16	59.1243366
17	58.58289159
18	58.07183641
19	57.63795527
20	57.25575893
21	56.91190053
22	56.60562183
23	56.37076572
24	56.11275799
25	55.86976364
26	55.6857347
27	55.46468105
28	55.27303474
29	55.10304533
30	55.05791195
31	55.02144045
32	54.89270499
33	54.70569812
34	54.56821789
35	54.42755733
36	54.2535026
37	54.11654325
38	53.96501177
39	53.80867169
40	53.69549244
41	53.6593439
42	53.51177149
43	53.41370177
44	53.31943137
45	53.24079983
46	53.16434278
47	53.07183888
48	52.93293632
49	52.79735154
50	52.68918747
51	52.60769958
52	52.47338665
53	52.37961421
54	52.32755733
55	52.26954733
56	52.21451116
57	52.13395804
58	52.04919082
59	51.98492703
60	51.91591211
61	51.91591197
62	51.82440864
63	51.76765659
64	51.67903985
65	51.6283703
66	51.5577686
67	51.48354945
68	51.43450454
69	51.34643896
70	51.31018564
71	51.28132135
72	51.19577408
73	51.15160457
74	51.05870359
75	50.98234317
76	50.90340895
77	50.85304936
78	50.81411501
79	50.77328379
80	50.71866148
81	50.65007302
82	50.57472687
83	50.53805435
84	50.467012
85	50.41854509
86	50.36875023
87	50.2469813
88	50.19222828
89	50.12410251
90	50.06030683
91	49.93097821
92	49.85652132
93	49.76357203
94	49.70759887
95	49.66999894
96	49.62700287
97	49.57600034
98	49.52019756
99	49.44693195
100	49.37549694
101	49.31986576
102	49.25237747
103	49.21404491
104	49.17478211
105	49.13396738
106	49.09841323
107	49.06936703
108	48.99655941
109	48.95351818
110	48.9067201
111	48.8574271
112	48.80125323
113	48.77882786
114	48.75203745
115	48.69193928
116	48.67688574
117	48.64783059
118	48.61933387
119	48.5897937
120	48.53193055
121	48.4977724
122	48.45143241
123	48.42528361
124	48.36337967
125	48.33511212
126	48.29617255
127	48.27145157
128	48.25338622
129	48.21693412
130	48.18821914
131	48.16271229
132	48.13194368
133	48.1035442
134	48.03449041
135	47.98031037
136	47.95998055
137	47.93431994
138	47.90732684
139	47.87536042
140	47.79893173
141	47.75764904
142	47.73101505
143	47.69779715
144	47.6846632
145	47.66186877
146	47.64207828
147	47.59823082
148	47.58017376
149	47.54926874
150	47.52533305
151	47.48077275
152	47.45875006
153	47.43150507
154	47.37874965
155	47.35316203
156	47.34177163
157	47.30627439
158	47.25797009
159	47.23979845
160	47.19422375
161	47.16983727
162	47.1389536
163	47.09365761
164	47.07293195
165	47.04480346
166	47.02086645
167	46.98899247
168	46.96278622
169	46.94622519
170	46.93328569
171	46.91704337
172	46.90326781
173	46.88670377
174	46.8668622
175	46.83483527
176	46.8211965
177	46.80456201
178	46.78467447
179	46.7759818
180	46.73865154
181	46.69995165
182	46.68632951
183	46.66988043
184	46.64599355
185	46.62540542
186	46.60298794
187	46.58479841
188	46.56527566
189	46.54945607
190	46.53890531
191	46.50874804
192	46.4795927
193	46.45353046
194	46.42503886
195	46.40621657
196	46.38298094
197	46.35849363
198	46.32583251
199	46.31175362
200	46.29942036
201	46.28728794
202	46.27425192
203	46.26448379
204	46.24016927
205	46.21082143
206	46.20565609
207	46.17737012
208	46.1592804
209	46.13889828
210	46.13723521
211	46.12804946
212	46.11227417
213	46.08729198
214	46.0798395
215	46.04450065
216	46.03562463
217	46.02185733
218	46.01251101
219	45.99297028
220	45.97484043
221	45.95096074
222	45.93776936
223	45.92473173
224	45.91798359
225	45.88257005
226	45.87184024
227	45.86526091
228	45.85815778
229	45.84403805
230	45.83035145
231	45.81200893
232	45.79692406
233	45.79045739
234	45.77336448
235	45.76471329
236	45.75765162
237	45.73245492
238	45.7105157
239	45.68182125
240	45.67398604
241	45.66892293
242	45.65628564
243	45.6295952
244	45.61948242
245	45.61375583
246	45.60439087
247	45.58811397
248	45.57369782
249	45.55969364
250	45.5499123
251	45.53436455
252	45.52518107
253	45.51144892
254	45.50291695
255	45.49059839
256	45.48233245
257	45.46629421
258	45.45197345
259	45.43312442
260	45.42902235
261	45.42137684
262	45.40900454
263	45.40458085
264	45.39548643
265	45.3838952
266	45.35932315
267	45.3439526
268	45.32548474
269	45.31624655
270	45.30582442
271	45.30177257
272	45.2947439
273	45.27800877
274	45.2655819
275	45.25166179
276	45.24351843
277	45.22699521
278	45.22070371
279	45.21321051
280	45.20513691
281	45.19790787
282	45.19127182
283	45.18045787
284	45.16154978
285	45.14878684
286	45.14100661
287	45.12408674
288	45.11692648
289	45.09638684
290	45.08739473
291	45.08384397
292	45.07551749
293	45.07024906
294	45.06171857
295	45.05062056
296	45.03628493
297	45.02064326
298	45.01715557
299	45.00869701
300	45.00082855
301	44.99342213
302	44.98851752
303	44.98070952
304	44.97651548
305	44.96946421
306	44.95712466
307	44.94147495
308	44.93604797
309	44.9292398
310	44.92334923
311	44.90387392
312	44.89777233
313	44.89288615
314	44.89126375
315	44.88615924
316	44.88191183
317	44.86832716
318	44.86432279
319	44.85589622
320	44.85134361
321	44.83563386
322	44.83184651
323	44.82793591
324	44.82453628
325	44.8159649
326	44.80133651
327	44.8012932
328	44.8010506
329	44.7959262
330	44.79158442
331	44.78321785
332	44.77652139
333	44.77038671
334	44.76753424
335	44.75846852
336	44.75505696
337	44.75240316
338	44.74913951
339	44.74221163
340	44.73845217
341	44.73396439
342	44.72860737
343	44.72108469
344	44.71097722
345	44.70696229
346	44.6998283
347	44.69730879
348	44.69302702
349	44.68228455
350	44.68228454
351	44.6762886
352	44.67102286
353	44.66714546
354	44.65700204
355	44.6529774
356	44.64489034
357	44.64066804
358	44.63093537
359	44.62001653
360	44.61300551
361	44.60875632
362	44.60418571
363	44.59515358
364	44.59002107
365	44.58418663
366	44.57511209
367	44.57116784
368	44.56499975
369	44.55674065
370	44.55368941
371	44.54540355
372	44.53994722
373	44.52873166
374	44.52398292
375	44.51755805
376	44.51442436
377	44.51000515
378	44.50738381
379	44.50216308
380	44.49645153
381	44.49154773
382	44.48676656
383	44.4855208
384	44.47895178
385	44.47324157
386	44.46742976
387	44.46405667
388	44.4611132
389	44.45667524
390	44.45337442
391	44.4499895
392	44.44876675
393	44.443864
394	44.44062709
395	44.43618371
396	44.43364012
397	44.42657749
398	44.41836822
399	44.41548006
400	44.40831148
401	44.40481666
402	44.40130833
403	44.39849255
404	44.39546499
405	44.38963279
406	44.38554565
407	44.38170343
408	44.37395146
409	44.37008231
410	44.36372107
411	44.36104145
412	44.35878115
413	44.35736294
414	44.35323302
415	44.34524075
416	44.34389798
417	44.34298352
418	44.33732509
419	44.33507698
420	44.33007512
421	44.32920211
422	44.3264976
423	44.32456286
424	44.32300783
425	44.31760642
426	44.3157387
427	44.30886369
428	44.3071956
429	44.30182862
430	44.30100535
431	44.29708074
432	44.29616689
433	44.29515671
434	44.29421883
435	44.2937076
436	44.29140277
437	44.28130998
438	44.27825431
439	44.27016704
440	44.26477092
441	44.26065532
442	44.25518399
443	44.25189646
444	44.25169238
445	44.24997502
446	44.24940628
447	44.24877996
448	44.24877539
449	44.24753845
450	44.24130068
451	44.24130067
452	44.23709052
453	44.23604
454	44.23055045
455	44.22808873
456	44.22362512
457	44.22201676
458	44.21678512
459	44.21281046
460	44.21137952
461	44.21135341
462	44.2104494
463	44.20888583
464	44.20519246
465	44.20407225
466	44.20280309
467	44.2015825
468	44.19867362
469	44.19694654
470	44.19511535
471	44.19104881
472	44.1871202
473	44.18323399
474	44.18227186
475	44.17879965
476	44.17701
477	44.1748803
478	44.17008732
479	44.16944588
480	44.16683167
481	44.16428467
482	44.16308645
483	44.16239442
484	44.16128548
485	44.15705897
486	44.15636576
487	44.14988216
488	44.14816456
489	44.14324964
490	44.13902832
491	44.13812197
492	44.13631712
493	44.13317762
494	44.12965531
495	44.12544198
496	44.12518872
497	44.12397765
498	44.12283737
499	44.12213468
500	44.12034591
501	44.11645029
502	44.112974
503	44.11185557
504	44.11081552
505	44.10781161
506	44.10678087
507	44.10673283
508	44.10565089
509	44.10503233
510	44.10293043
511	44.09852908
512	44.09615103
513	44.09154804
514	44.08992507
515	44.0861528
516	44.08295524
517	44.08127321
518	44.07775923
519	44.07729764
520	44.07530616
521	44.07378776
522	44.07076611
523	44.06692344
524	44.06524086
525	44.06141055
526	44.05671635
527	44.05532902
528	44.05496263
529	44.05108245
530	44.04846487
531	44.04686894
532	44.04497707
533	44.04408724
534	44.04236954
535	44.04188809
536	44.04031703
537	44.03942947
538	44.03819421
539	44.03605093
540	44.03397401
541	44.03295741
542	44.03002698
543	44.02909019
544	44.02547918
545	44.02225183
546	44.02180715
547	44.02090801
548	44.01978989
549	44.0175119
550	44.01576178
551	44.0147882
552	44.01409443
553	44.01340499
554	44.01228388
555	44.01080246
556	44.01022599
557	44.00880422
558	44.00868447
559	44.00737725
560	44.00552894
561	44.00479216
562	44.00389197
563	44.00275673
564	44.00139094
565	44.00001891
566	43.99897034
567	43.99753234
568	43.99749904
569	43.99671706
570	43.99583642
571	43.99477793
572	43.99318123
573	43.99028353
574	43.988289
575	43.98767076
576	43.98422367
577	43.98162398
578	43.980999
579	43.97946494
580	43.97733891
581	43.97513834
582	43.97359625
583	43.971441
584	43.97113427
585	43.96748576
586	43.96629632
587	43.9655149
588	43.96412427
589	43.96325466
590	43.96146767
591	43.96019351
592	43.9596549
593	43.95538985
594	43.95470586
595	43.95366307
596	43.95336418
597	43.95231139
598	43.9517165
599	43.95109838
600	43.95027542
601	43.94865736
602	43.94425675
603	43.94300021
604	43.94042786
