iter	Passed	Remaining
0	14	14776
1	27	13849
2	39	13195
3	52	13064
4	63	12712
5	76	12663
6	88	12536
7	101	12563
8	113	12467
9	123	12258
10	136	12267
11	148	12232
12	160	12170
13	172	12126
14	184	12131
15	198	12181
16	210	12148
17	222	12143
18	235	12135
19	247	12145
20	259	12094
21	271	12050
22	283	12047
23	295	12036
24	307	12011
25	319	11986
26	331	11961
27	343	11920
28	356	11925
29	367	11890
30	369	11551
31	371	11223
32	375	11005
33	384	10935
34	397	10951
35	408	10944
36	420	10955
37	433	10973
38	446	10998
39	458	10996
40	470	10999
41	472	10784
42	484	10789
43	497	10811
44	508	10798
45	520	10792
46	531	10784
47	543	10781
48	555	10785
49	568	10793
50	580	10808
51	592	10805
52	603	10789
53	615	10785
54	626	10766
55	638	10765
56	649	10750
57	662	10761
58	674	10752
59	686	10754
60	698	10746
61	699	10577
62	710	10560
63	721	10558
64	734	10560
65	745	10544
66	756	10539
67	763	10465
68	775	10462
69	787	10460
70	794	10394
71	805	10383
72	816	10371
73	828	10363
74	841	10377
75	853	10371
76	865	10377
77	877	10374
78	890	10379
79	901	10368
80	912	10355
81	925	10361
82	938	10366
83	950	10367
84	962	10365
85	974	10360
86	986	10354
87	998	10349
88	1010	10344
89	1021	10332
90	1033	10324
91	1045	10319
92	1058	10322
93	1070	10321
94	1082	10310
95	1093	10298
96	1106	10299
97	1117	10290
98	1129	10280
99	1141	10272
100	1153	10271
101	1167	10276
102	1180	10284
103	1193	10279
104	1205	10276
105	1217	10268
106	1230	10270
107	1250	10328
108	1269	10380
109	1285	10402
110	1300	10413
111	1313	10416
112	1329	10433
113	1342	10436
114	1356	10442
115	1370	10443
116	1383	10443
117	1398	10454
118	1412	10453
119	1426	10458
120	1439	10458
121	1454	10467
122	1468	10469
123	1481	10469
124	1495	10468
125	1509	10469
126	1523	10473
127	1537	10473
128	1552	10479
129	1565	10478
130	1579	10475
131	1593	10476
132	1607	10479
133	1620	10474
134	1633	10465
135	1646	10458
136	1658	10450
137	1672	10444
138	1685	10442
139	1700	10444
140	1714	10442
141	1726	10432
142	1738	10421
143	1751	10410
144	1763	10398
145	1777	10394
146	1790	10388
147	1804	10387
148	1816	10376
149	1829	10367
150	1842	10361
151	1855	10351
152	1867	10340
153	1880	10330
154	1893	10322
155	1905	10309
156	1917	10294
157	1930	10286
158	1944	10284
159	1957	10277
160	1969	10265
161	1983	10258
162	1995	10249
163	2008	10237
164	2021	10229
165	2034	10222
166	2047	10213
167	2061	10209
168	2074	10199
169	2086	10188
170	2100	10182
171	2112	10170
172	2125	10162
173	2137	10147
174	2149	10131
175	2161	10121
176	2174	10111
177	2187	10100
178	2198	10082
179	2210	10070
180	2222	10057
181	2235	10046
182	2246	10030
183	2259	10020
184	2271	10006
185	2283	9993
186	2295	9981
187	2307	9967
188	2320	9959
189	2332	9945
190	2345	9932
191	2358	9923
192	2370	9912
193	2383	9903
194	2396	9891
195	2408	9877
196	2419	9862
197	2431	9849
198	2443	9833
199	2455	9821
200	2467	9809
201	2479	9796
202	2487	9764
203	2499	9751
204	2511	9737
205	2522	9723
206	2534	9708
207	2545	9694
208	2557	9679
209	2569	9664
210	2571	9617
211	2584	9607
212	2596	9593
213	2608	9581
214	2620	9569
215	2632	9553
216	2644	9540
217	2657	9531
218	2669	9518
219	2682	9508
220	2693	9495
221	2705	9482
222	2717	9469
223	2729	9454
224	2740	9440
225	2752	9424
226	2762	9407
227	2773	9392
228	2785	9377
229	2799	9372
230	2809	9353
231	2821	9341
232	2832	9325
233	2843	9307
234	2854	9293
235	2866	9279
236	2878	9267
237	2890	9253
238	2902	9240
239	2913	9226
240	2925	9213
241	2928	9171
242	2940	9159
243	2952	9146
244	2964	9134
245	2976	9122
246	2988	9111
247	3001	9100
248	3013	9088
249	3025	9076
250	3038	9066
251	3051	9056
252	3063	9045
253	3075	9033
254	3087	9021
255	3099	9009
256	3113	9000
257	3125	8988
258	3133	8963
259	3145	8952
260	3157	8940
261	3168	8925
262	3181	8916
263	3194	8906
264	3207	8895
265	3219	8883
266	3230	8869
267	3243	8858
268	3255	8846
269	3268	8836
270	3280	8825
271	3293	8815
272	3304	8800
273	3316	8786
274	3327	8772
275	3340	8761
276	3353	8754
277	3366	8742
278	3377	8729
279	3390	8718
280	3402	8705
281	3415	8696
282	3429	8687
283	3441	8676
284	3453	8663
285	3466	8654
286	3478	8642
287	3491	8630
288	3503	8618
289	3515	8607
290	3527	8593
291	3538	8579
292	3551	8570
293	3563	8556
294	3575	8545
295	3587	8532
296	3599	8519
297	3612	8509
298	3625	8499
299	3638	8488
300	3650	8477
301	3663	8467
302	3675	8455
303	3686	8440
304	3698	8427
305	3710	8414
306	3722	8401
307	3734	8390
308	3745	8375
309	3758	8365
310	3770	8353
311	3782	8341
312	3794	8328
313	3806	8316
314	3818	8304
315	3831	8292
316	3842	8279
317	3854	8265
318	3865	8251
319	3876	8237
320	3886	8221
321	3898	8208
322	3909	8194
323	3920	8180
324	3931	8165
325	3946	8159
326	3959	8149
327	3961	8115
328	3962	8082
329	3975	8071
330	3986	8056
331	3997	8044
332	4010	8032
333	4021	8019
334	4033	8007
335	4046	7995
336	4058	7984
337	4070	7972
338	4083	7961
339	4095	7950
340	4107	7938
341	4119	7925
342	4131	7913
343	4143	7901
344	4155	7888
345	4167	7877
346	4179	7865
347	4190	7851
348	4202	7839
349	4214	7827
350	4216	7796
351	4228	7783
352	4241	7773
353	4253	7761
354	4265	7750
355	4276	7736
356	4287	7722
357	4299	7709
358	4311	7697
