iter	RMSE
0	0.1959640844
1	0.1870359418
2	0.1833884221
3	0.1798874879
4	0.1778840028
5	0.1753221126
6	0.172630195
7	0.1714794578
8	0.1698509923
9	0.168563806
10	0.1670202931
11	0.1660517565
12	0.1650538752
13	0.1638557017
14	0.162967264
15	0.1614908149
16	0.1605877686
17	0.1591878085
18	0.1583740096
19	0.157584358
20	0.1569280773
21	0.1560148162
22	0.1552012123
23	0.1546275737
24	0.1542495118
25	0.1536818503
26	0.15292672
27	0.1525016013
28	0.152118304
29	0.1517319979
30	0.1514003141
31	0.1508930155
32	0.150456084
33	0.150066595
34	0.149698568
35	0.149152149
36	0.1488809776
37	0.148436065
38	0.1481789524
39	0.1478687558
40	0.1474988997
41	0.147283858
42	0.1469872791
43	0.1467503373
44	0.1465049847
45	0.1462773405
46	0.1460144787
47	0.1457071571
48	0.1455217704
49	0.1453109263
50	0.1451864977
51	0.1450119622
52	0.1448538726
53	0.1447123191
54	0.1445180721
55	0.1442683737
56	0.1440356257
57	0.143812534
58	0.1436219345
59	0.1434921954
60	0.1433032608
61	0.1431494262
62	0.1429923295
63	0.14289122
64	0.1427938762
65	0.1426850732
66	0.1425335951
67	0.1424084498
68	0.1422567646
69	0.1421740994
70	0.1420912235
71	0.1420008972
72	0.1419091366
73	0.1417970408
74	0.1416710672
75	0.141608349
76	0.1415045171
77	0.1414177859
78	0.1413308148
79	0.1412166144
80	0.1411360601
81	0.1410705315
82	0.1410067289
83	0.1409542413
84	0.1409196111
85	0.140859201
86	0.140815132
87	0.140721711
88	0.1406413674
89	0.1405945546
90	0.1405332471
91	0.1404867536
92	0.1404321249
93	0.1403601735
94	0.1403249786
95	0.1402704346
96	0.1402047854
97	0.1401580765
98	0.1400995199
99	0.1400630046
