iter	Passed	Remaining
0	3	372
1	9	457
2	14	455
3	18	451
4	23	445
5	27	431
6	31	418
7	35	410
8	40	408
9	45	408
10	50	411
11	56	413
12	61	412
13	66	408
14	70	401
15	75	395
16	79	387
17	83	378
18	87	371
19	91	364
20	96	361
21	101	358
22	106	354
23	110	350
24	115	345
25	119	340
26	124	335
27	128	329
28	131	323
29	135	315
30	138	309
31	142	303
32	146	298
33	150	292
34	154	286
35	158	281
36	161	275
37	165	270
38	169	265
39	173	260
40	177	255
41	182	251
42	186	247
43	190	242
44	195	238
45	199	234
46	204	230
47	208	225
48	211	220
49	215	215
50	219	210
51	223	205
52	226	201
53	230	196
54	234	191
55	238	187
56	242	183
57	246	178
58	251	174
59	254	169
60	258	165
61	261	160
62	265	156
63	269	151
64	273	147
65	276	142
66	280	138
67	284	134
68	288	129
69	292	125
70	296	121
71	300	116
72	304	112
73	308	108
74	312	104
75	316	99
76	320	95
77	325	91
78	330	87
79	334	83
80	339	79
81	343	75
82	348	71
83	352	67
84	355	62
85	359	58
86	363	54
87	366	50
88	370	45
89	374	41
90	378	37
91	383	33
92	388	29
93	395	25
94	399	21
95	403	16
96	406	12
97	410	8
98	414	4
99	418	0
